network_abbr;orig_flag_name;orig_flag_description
BNZ-LTER;E;EstimatedMissing
BNZ-LTER;Q;Questionable
BNZ-LTER;M;Missing
BNZ-LTER;G;Good
COSMOS-UK;512;Spike - Data that are greater than a threshold value smaller/larger than the neighbouring values.If a value is greater than a certain threshold away from its neighbouring values this is removed.
COSMOS-UK;1024;Error codes - Data where the logger programme has assigned an error code value due to a sensor/programme fault.When there is a fault with the sensor for some variables the logger programme can record a value of 7999.
COSMOS-UK;M;Missing. Where data has been lost and not infilled.Note, for snow parameters, e.g. SNOW_DEPTH, the values are only given on snow days. This means there is no data on non-snow days, but it is not considered missing and will not have the M flag.
COSMOS-UK;U;Unchecked. Where data had had no quality control (QC).Note, data that has been derived from QC’d data, e.g. net radiation, is not itself QC’d, however is still consider checked. The only truly unchecked data is the daily greenness proportion (GCC).
COSMOS-UK;I;Infilled. Where missing data has been filled in directly using an infill method. See Section 5 for more details on infilling.
COSMOS-UK;E;Estimated. Where the value contains some degree of uncertainty. This can be for one of two reasons:1. The value was aggregated with less than a full set of data. For example, a daily mean temperature where some of the sub daily values were missing.2. The value was aggregated or derived with some degree of infilled data. For example, if net radiation (RN) was calculated using an infilled SWIN value.
COSMOS-UK;0;Good
COSMOS-UK;8;Low power - Data recorded where battery voltage is low.Low battery power can mean measurements are missing or unreliable. If the battery pack voltage goes below 11V the associated data will be removed.
COSMOS-UK;4;Too few sample - Data with too few half hourly samples.For variables that are a sum or average of numerous continuous readings in the preceding half hour period; if less than a third of these readings are missing the measurement is considered unreliable and data are removed.
COSMOS-UK;2;Zero data - Data equal to zero where this is not a possible value.For certain variables missing data are marked using a zero.  For variables where this is true any zero values are removed as these are assumed to be missing.
COSMOS-UK;1;Missing - No data received from logger.
COSMOS-UK;16;Sensor fault - Data associated with a sensor that has a known fault. These are registered manually by the operations team.
COSMOS-UK;32;Diagnostic flag - Data that has been assigned a diagnostic flag by the instrument.
COSMOS-UK;64;Out of range - Data that are outside an acceptable range for that variable.Each variable measured at each site has a minimum and maximum value set. If the measurement of this particular variable goes out of this range it will be removed.
COSMOS-UK;128;Secondary variable - Data dependant on another variable and the other variable is incorrect.Some measurements are dependent on the measurements of another variable being reasonable. For example measurements of the components of radiation are not reliable when the body temperature (of the radiometer) measurement is out of the acceptable range. This test will remove values from the dependent variables if the main variable is not correct.
DWD;2;checked, value is not plausible
DWD;-9999;no flag
DWD;3;checked, value is plausible
DWD;1;checked, value is wrong
DWD;0;not checked
IMA_CAN1;U;Unchecked
IMA_CAN1;C;Checked manually
KIHS_CMC;M;Missing
KIHS_CMC;G;Good
KIHS_SMC;M;Missing
KIHS_SMC;G;Good
MOL-RAO;U;Unchecked
MOL-RAO;B;Bad
MOL-RAO;I;Interpolated
MOL-RAO;M;Missing
MOL-RAO;D;Dubious
MOL-RAO;G;Good
RISMA;31;Good Data
RISMA;None;no flag
RISMA;STC_averaged_using_sensor_1_and_2-Frozen_soil;
RISMA;11;Poor Data
RISMA;STC_averaged_using_sensor_1_and_2-OK;
RISMA;STC_averaged_using_1_and_2;activated when hydra probe sensor #3 does not measure soil temperature. The average soil temperature from sensor #1 and 2 is used instead. Occurs at some ON stations
RISMA;CON_ge_0.2;activated when temperature corrected soil conductivity (CON) is equal to or larger than 0.2 S/m
RISMA;3;Ice conditions affect record
RISMA;21;Fair Data (more 10% different from average)
RISMA;-2;Unusable Data
RISMA;Out_of_RDC_range;activated when Real Dielectric Permittivity (RDC) is less than 2.4
RISMA;Frozen_soil;activated if the soil temperature is below zero degrees Celsius and indicates that the soil moisture readings should not be used
RISMA;DLT_ge_1.5;activated when the Dielectric Loss Tangent (DLT = Imaginary Dielectric Permittivity / RealDielectric Permittivity) is equal to or larger than 1.5
RISMA;Out_of_WFV_average_range;activated if Soil Moisture value (m3/m3) is more than 10% different from the average, ie if there are sudden changes in soil moisture (these could be due to rain events or data noise; the flag is there to assist in interpretation along with rain gauge data)
RISMA;Out_of_WFV_range;activated if the Soil Moisture (m3/m3) is less than 0.02 or greater than 0.60
RISMA;OK;OK
RISMA;NA;NA
SCAN;N;No Assigned Profile: There is no existing delta/range profile for the data value, or the profiles are inactive. After data review, the N flags should be converted to V for valid, S for suspect, or E/K for an updated 
SCAN;None;no flag
SCAN;C;Correction: Assigned when a different multiplier or equation is applied to the sensor voltage (e.g. correcting for wrong transducer size, or unbiased temperature data).
SCAN;V;Valid: Data value is within the limits of the Storage delta/range profile or determined to be valid through human review.
SCAN;S;Suspect: Data value is outside the limits of the stored delta/range profile.
SCAN;E;Edited: Data value is revised to correct for signal noise on an otherwise functioning sensor.
SCAN;M;Missing: Assigned for to a null value.
SCAN;K;Internal Estimate: Data value is revised using an estimate from other sensors or stations. Does not apply to data that are smoothed to adjust for minor sensor fluctuations which would receive the ‘E’ flag
SNOTEL;None;no flag
SNOTEL;K;Internal Estimate: Data value is revised using an estimate from other sensors or stations. Does not apply to data that are smoothed to adjust for minor sensor fluctuations which would receive the ‘E’ flag
SNOTEL;C;Correction: Assigned when a different multiplier or equation is applied to the sensor voltage (e.g. correcting for wrong transducer size, or unbiased temperature data).
