sensor_name;measured_variable;sensor_ref_doc;sensor_producer;sensor_added_infos;sensor_label;measurement_principle;measurement_technique
5TE;soil moisture, soil EC, soil temperature;http://publications.metergroup.com/Manuals/20435_5TE_Manual_Web.pdf;METER Group (former Decagon);;Meter-5TE;dielectric constant;FDR-Capacitance
5TM;soil moisture, soil temperature;http://publications.metergroup.com/Manuals/20424_5TM_Manual_Web.pdf;METER Group (former Decagon);https://library.metergroup.com/Retired%20and%20Discontinued/Manuals/ECH2O-TEEC-TMv6-Operators-Manual-(discontinued).pdf;Meter-5TM;dielectric constant;FDR-Capacitance
10HS;soil moisture;http://publications.metergroup.com/Manuals/20426_10HS_Manual_Web.pdf;METER Group (former Decagon);;Meter-10HS;dielectric constant;FDR-Capacitance
CS615;soil moisture;https://s.campbellsci.com/documents/us/manuals/cs615.pdf;Campbell Scientific;https://www.electronics-tutorials.ws/waveforms/bistable.html;Campbell-CS615;dielectric constant;TDR
CS616;soil moisture;https://s.campbellsci.com/documents/us/manuals/cs616.pdf;Campbell Scientific;bistable multivibrator, niedrigfrequenterer Puls als TDR1000?;Campbell-CS616;dielectric constant;TDR
CS650;soil moisture;https://s.campbellsci.com/documents/us/manuals/cs650.pdf;Campbell Scientific;for high EC soils, loss-effect correction;Campbell-CS650;dielectric constant;TDR
CS655;soil moisture;https://s.campbellsci.com/documents/us/manuals/cs650.pdf;Campbell Scientific;for high EC soils, loss-effect correction, short sensor;Campbell-CS655;dielectric constant;TDR
EC-5;soil moisture;http://publications.metergroup.com/Manuals/20431_EC-5_Manual_Web.pdf;METER Group (former Decagon);70MHZ;Meter-EC5;dielectric constant;FDR-Capacitance
Hydraprobe Analog;soil moisture, soil EC, soil temperature;https://www.stevenswater.com/resources/documentation/hydraprobe/HP_6_User_Manual.pdf;Stevens Water Inc.;e.g. for campbell loggers;Stevens-Hydraprobe-Analog;dielectric constant;FDR-Impedance
Hydraprobe Digital Sdi-12;soil moisture, soil EC, soil temperature;https://www.stevenswater.com/resources/documentation/hydraprobe/HP_6_User_Manual.pdf;Stevens Water Inc.;;Stevens-Hydraprobe-Digital;dielectric constant;FDR-Impedance
Trime;soil moisture, soil temperature;https://www.imko.de/wp-content/uploads/2021/02/2020_08_14_Manual_TRIME-PICO64-32_final.pdf;Imko;;Imko-TrimeTDR;dielectric constant;TDR
Moisture Point PRB-K;soil moisture;http://www.esica.com/_docs/tb01.pdf;Environmental Sensors Inc.;profile sensor;ES-Moisture-Point;dielectric constant;TDR
TDT;soil moisture, soil EC, soil temperature;https://acclima.com/wp-content/uploads/User-Manual-SDI-TDT-12-22.pdf;Acclima;mit SDI-12;Acclima-TDT;dielectric constant;TDT
Teros10;soil moisture;http://publications.metergroup.com/Manuals/20788_TEROS10_Manual_Web.pdf;METER Group;70MHZ;Meter-Teros10;dielectric constant;FDR-Capacitance
Teros12;soil moisture, soil EC, soil temperature;http://publications.metergroup.com/Manuals/20587_TEROS11-12_Manual_Web.pdf;METER Group;;Meter-Teros12;dielectric constant;FDR-Capacitance
ThetaProbe ML2X;soil moisture;https://delta-t.co.uk/wp-content/uploads/2016/11/ML2-Thetaprobe-UM.pdf;Delta-T Devices;simplefied impedance;DeltaT-ThetaProbe-ML3;dielectric constant;FDR-Impedance
ThetaProbe ML3;soil moisture, soil temperature;https://delta-t.co.uk/wp-content/uploads/2017/02/ML3-user-manual-version-2.1.pdf;Delta-T Devices;simplefied impedance;DeltaT-ThetaProbe-ML2x;dielectric constant;FDR-Impedance
Spade;soil moisture, soil temperature;http://sceme.de/documents/Datasheet-SPADE-V3.06_en.pdf;Sceme.de;;Sceme-Spade-TDT;dielectric constant;TDT
SoilVUE10;soil moisture, soil EC, soil temperature;https://s.campbellsci.com/documents/us/manuals/soilvue10.pdf;Campbell Scientific;;Campbell-SoilVUE10;dielectric constant;TDR
